"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
213,96,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix 1500 PRO,PRODUCTIONmix 1500 PRO
214,97,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix 1600,PRODUCTIONmix 1600
215,98,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK)
216,99,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix 1725,PRODUCTIONmix 1725
217,100,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix LW PRO,PRODUCTIONmix LW PRO
218,101,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,PRODUCTIONmix THX,PRODUCTIONmix THX
225,102,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,Superlite 13 (CDM-5),Superlite 13 (CDM-5)
226,103,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SUPERLITEmix 1160,SUPERLITEmix 1160
227,104,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SUPERLITEmix 1160 (CDM-5),SUPERLITEmix 1160 (CDM-5)
228,105,1,"29747",awang,2017-04-07 15:10:46,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SUPERLITEmix 1200 HT,SUPERLITEmix 1200 HT
229,106,1,"29747",awang,2017-04-07 15:10:56,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SUPERLITEmix PRO,SUPERLITEmix PRO
230,107,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix LW (AB),SURFACEmix LW (AB)
231,108,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix LW (SK),SURFACEmix LW (SK)
232,109,1,"29747",awang,2017-04-07 15:11:09,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix LW PRO,SURFACEmix LW PRO
233,110,1,"29747",awang,2017-04-07 15:11:19,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix LW PRO (SK),SURFACEmix LW PRO (SK)
234,111,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix PRO,SURFACEmix PRO
235,112,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix PRO SL,SURFACEmix PRO SL
237,113,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SurfLite (SK),SurfLite (SK)
240,114,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,THERMAmix LT,THERMAmix LT
242,115,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,ThixLite HT (SK),ThixLite HT (SK)
243,116,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,SURFACEmix LW PRO SL,SURFACEmix LW PRO SL
244,117,1,"15112",Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,LDP-C-0117,LDP-C-0117
246,118,1,"29747",awang,2017-02-15 12:49:05,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,Fresh Water,Fresh Water
248,119,1,"29747",awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,Indicator Dye,Indicator Dye
249,120,1,"29747",awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,Mud Flush,Mud Flush
251,121,1,"29747",awang,2017-02-15 12:49:05,1,2001-01-01 00:00:00,9999-12-31 00:00:00,0,0,RP-20,RP-20
252,122,1,"29747",awang,2017-03-02 13:35:10,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Water Wet Max,Water Wet Max
253,123,1,"29747",awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT,EXPANDOmix PRO LT
254,124,1,"29747",awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT,EXPANDOmix PRO HT
255,125,1,"29747",awang,2017-05-11 15:35:19,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW,PRODUCTIONmix LW
