"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","IsThirdPartyProvided","IsFreightCostIncluded","PriceCode","InventoryNumber"
111,102,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,"2:1:6 'G' (Sask)","2:1:6 'G' (Sask)",0,0,,""
112,103,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,"2:1:8 'G'","2:1:8 'G'",0,0,,""
113,104,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,"2:1:8 'G' (Sask)","2:1:8 'G' (Sask)",0,0,,""
114,105,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,ASC IV,ASC IV Acid Soluble Cement,0,0,113314,""
115,106,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Expandomix,Expandomix,0,0,113040,""
116,107,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT,EXPANDOmix PRO HT,0,0,116441,""
117,108,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT (Sask),EXPANDOmix PRO HT (Sask),0,0,116441,""
118,109,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT,EXPANDOmix PRO LT,0,0,116443,""
119,110,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT (Sask),EXPANDOmix PRO LT (Sask),0,0,116443,""
120,111,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Expandomix HT,Expandomix HT,0,0,113044,""
121,112,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Expandomix HT (SK),Expandomix HT (SK),0,0,113044,""
122,113,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Expandomix LWL,Expandomix LWL,0,0,113042,""
123,114,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Glacial Mix,Glacial Mix,0,0,113411,""
124,115,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,iBond,iBond,0,0,113056,""
125,116,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,iGain (SK),iGain (SK),0,0,113052,""
126,117,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,iGain (AB),iGain(AB),0,0,113052,""
127,118,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,iPrime (AB),iPrime (AB),0,0,113014,""
128,119,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,iPrime (SK),iPrime (SK),0,0,113014,""
129,120,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LCS 1600,LCS 1600,0,0,113070,""
130,121,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LCS 1820,LCS 1820,0,0,113072,""
131,122,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LITEmix 1325 (AB),LITEmix 1325 (AB),0,0,114709,""
132,123,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LITEmix 1325 (SK),LITEmix 1325 (SK),0,0,114709,""
133,124,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LITEmix 1400 (AB),LITEmix 1400 (AB),0,0,114715,""
134,125,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LITEmix 1400 (SK),LITEmix 1400 (SK),0,0,114715,""
135,126,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,LITEmix EC,LITEmix EC,0,0,114707,""
136,127,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1500 PRO ,PRODUCTIONmix 1500 PRO ,0,0,113409,""
137,128,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600,PRODUCTIONmix 1600,0,0,116020,""
138,129,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK),0,0,116020,""
139,130,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1725,PRODUCTIONmix 1725,0,0,116421,""
140,131,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC,PRODUCTIONmix EC,0,0,116417,""
141,132,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC (Sask),PRODUCTIONmix EC (Sask),0,0,116417,""
142,133,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW,PRODUCTIONmix LW,0,0,116423,""
143,134,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW (Sask),PRODUCTIONmix LW (Sask),0,0,116423,""
144,135,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,PRODUCTIONmix THX ,PRODUCTIONmix THX ,0,0,116419,""
145,136,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Proteus Core,Proteus Core,0,0,113030,""
146,137,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Proteus LCS,Proteus LCS,0,0,113034,""
147,138,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Proteus Pro,Proteus Pro,0,0,113032,IIN023575
148,139,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,RAS II,RAS II,0,0,113074,""
150,140,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SanSeal HT,SanSeal HT,0,0,113119,""
151,141,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,SSi,SSi,0,0,113009,""
152,142,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Superlite 13,Superlite 13,0,0,113083,""
153,143,1,"0","",2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,0,Superlite 13 (CDM-5),Superlite 13 (CDM-5),0,0,113083,""
