"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","BlendChemicalName","Abbreviation","BlendRecipeName","BlendRecipeDescription","BlendChemicalDescription","IsBaseBlend","BlendRecipeId","AdditionMethod","UnitSystemId","AdditiveBlendMethod","UnitId","UnitDescription","UnitName","BlendChemicalSystemId","BlendRecipeSystemId","BlendChemicalId","Amount"
428,423,1,"0","",2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,186,,,Intercem,%,SUPERLITEmix 1100x,,"",1,186,2,81,1,1,,Percent,4,184,4,529.00
433,428,1,"0","",2018-09-28 18:10:55,1,2017-09-28 18:10:55,9999-12-31 23:59:59,0,188,,,Intercem,%,LDP-C-0517,,"",1,188,2,81,1,1,,Percent,4,186,4,622.00
123,119,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,43,,,Intercem,%,iBond,,"",1,43,2,81,1,1,,Percent,4,43,4,979.00
128,124,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,44,,,Intercem,%,iGain (SK),,"",1,44,2,81,1,1,,Percent,4,44,4,758.00
133,129,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,45,,,Intercem,%,iGain (AB),,"",1,45,2,81,1,1,,Percent,4,45,4,727.50
139,135,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,46,,,Intercem,%,iPrime (AB),,"",1,46,2,81,1,1,,Percent,4,46,4,760.00
144,140,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,47,,,Intercem,%,iPrime (SK),,"",1,47,2,81,1,1,,Percent,4,47,4,760.00
158,154,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,50,,,Intercem,%,LITEmix 1325 (AB),,"",1,50,2,81,1,1,,Percent,4,50,4,553.00
166,162,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,51,,,Intercem,%,LITEmix 1325 (SK),,"",1,51,2,81,1,1,,Percent,4,51,4,553.00
174,170,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,52,,,Intercem,%,LITEmix 1400 (AB),,"",1,52,2,81,1,1,,Percent,4,52,4,596.00
182,178,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,53,,,Intercem,%,LITEmix 1400 (SK),,"",1,53,2,81,1,1,,Percent,4,53,4,596.00
