"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION","PriceCode","ISFREIGHTCOSTINCLUDED","ISTHIRDPARTYPROVIDED","INVENTORYNUMBER","SbsReleasedProductId"
131,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LITEmix 1325 (AB),LITEmix 1325 (AB),114709,0,0,,""
132,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LITEmix 1325 (SK),LITEmix 1325 (SK),114709,0,0,,""
133,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LITEmix 1400 (AB),LITEmix 1400 (AB),114715,0,0,,""
134,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LITEmix 1400 (SK),LITEmix 1400 (SK),114715,0,0,,""
135,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,LITEmix EC,LITEmix EC,114707,0,0,,""
136,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix 1500 PRO ,PRODUCTIONmix 1500 PRO ,113409,0,0,,""
137,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix 1600,PRODUCTIONmix 1600,116020,0,0,,""
138,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK),116020,0,0,,""
139,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix 1725,PRODUCTIONmix 1725,116421,0,0,,""
140,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix EC,PRODUCTIONmix EC,116417,0,0,,""
141,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix EC (Sask),PRODUCTIONmix EC (Sask),116417,0,0,,""
142,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix LW,PRODUCTIONmix LW,116423,0,0,,""
143,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix LW (Sask),PRODUCTIONmix LW (Sask),116423,0,0,,""
144,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,PRODUCTIONmix THX ,PRODUCTIONmix THX ,116419,0,0,,""
145,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Proteus Core,Proteus Core,113030,0,0,,""
146,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Proteus LCS,Proteus LCS,113034,0,0,,""
147,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Proteus Pro,Proteus Pro,113032,0,0,IIN023575,""
148,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,RAS II,RAS II,113074,0,0,,""
150,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SanSeal HT,SanSeal HT,113119,0,0,,""
151,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SSi,SSi,113009,0,0,,""
152,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Superlite 13,Superlite 13,113083,0,0,,""
153,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,Superlite 13 (CDM-5),Superlite 13 (CDM-5),113083,0,0,,""
154,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SUPERLITEmix PRO HT ,SUPERLITEmix PRO HT ,113107,0,0,,""
155,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SUPERLITEmix PRO ,SUPERLITEmix PRO ,113087,0,0,,""
156,"",1,0,,2018-09-28 18:10:39,1,2017-09-28 18:10:39,9999-12-31 23:59:59,0,SURFACEmix LW (SK) ,SURFACEmix LW (SK) ,113404,0,0,,""
