"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION"
257,"",1,29747,awang,2018-03-07 16:01:23,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,THERMAmix THX,THERMAmix THX
258,"",1,29747,awang,2017-07-26 12:12:31,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SUPERLITEmix 1100X,SUPERLITEmix 1100X
259,"",1,29747,awang,2018-01-16 16:10:07,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,EXPANDOmix PRO HT (SK),EXPANDOmix PRO HT (SK)
260,"",1,29747,awang,2018-01-16 16:09:43,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,EXPANDOmix PRO LT (SK),EXPANDOmix PRO LT (SK)
261,"",1,29747,awang,2017-08-29 11:18:54,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,LITEmix EC,LITEmix EC
262,"",1,29747,awang,2018-01-16 16:08:57,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,PRODUCTIONmix EC (SK),PRODUCTIONmix EC (SK)
263,"",1,29747,awang,2018-01-16 16:05:19,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,PRODUCTIONmix LW (SK),PRODUCTIONmix LW (SK)
264,"",1,29747,awang,2017-08-29 11:19:44,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SUPERLITEmix PRO HT,SUPERLITEmix PRO HT
265,"",1,29747,awang,2017-08-30 12:04:53,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SUPERLITEmix 1160x,SUPERLITEmix 1160x
266,"",1,29747,awang,2017-09-06 15:37:20,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,LDP-C-0517,LDP-C-0517
267,"",1,29747,awang,2018-03-07 15:40:05,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,THERMAmix SLW,THERMAmix SLW
268,"",1,29747,awang,2017-09-06 15:38:22,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,THERMAmix PRO,THERMAmix PRO
269,"",1,29747,awang,2018-02-21 11:03:29,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SURFACEmix LW PRO SL (SK),SURFACEmix LW PRO SL (SK)
270,"",1,29747,awang,2018-03-07 16:34:47,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SURFACEmix THX,SURFACEmix THX
271,"",1,29747,awang,2018-03-20 15:21:24,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SUPERLITEmix PRO X,SUPERLITEmix PRO X
