"ID","ROOT_ID","PARENT_ID","BLEND_CHEMICAL_ID","AMOUNT","IS_BASE_BLEND","ADDITION_METHOD","ADDITIVE_BLEND_METHOD","UNIT_NAME","UNIT_ABBR","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_CHEMICAL_NAME"
"112","40","40","31","40","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.3970000","1","2017/9/28 18:10:50.3970000","9999/12/31 23:59:59.9970000","EA-1"
"113","41","41","3","915.5","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4170000","1","2017/9/28 18:10:50.4170000","9999/12/31 23:59:59.9970000","Class G"
"114","41","41","41","18","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4230000","1","2017/9/28 18:10:50.4230000","9999/12/31 23:59:59.9970000","GSS-1"
"115","41","41","67","55","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4300000","1","2017/9/28 18:10:50.4300000","9999/12/31 23:59:59.9970000","SCA-1"
"116","41","41","20","2.5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4370000","1","2017/9/28 18:10:50.4370000","9999/12/31 23:59:59.9970000","CFL-3"
"117","41","41","32","9","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4430000","1","2017/9/28 18:10:50.4430000","9999/12/31 23:59:59.9970000","EA-3"
"118","42","42","3","369","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5700000","1","2017/9/28 18:10:50.5700000","9999/12/31 23:59:59.9970000","Class G"
"119","42","42","67","582","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5770000","1","2017/9/28 18:10:50.5770000","9999/12/31 23:59:59.9970000","SCA-1"
"120","42","42","26","5","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5830000","1","2017/9/28 18:10:50.5830000","9999/12/31 23:59:59.9970000","CFR"
"121","42","42","58","1","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6030000","1","2017/9/28 18:10:50.6030000","9999/12/31 23:59:59.9970000","LTR-3"
"122","42","42","62","43","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6100000","1","2017/9/28 18:10:50.6100000","9999/12/31 23:59:59.9970000","NaCl"
"123","43","43","4","979","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6270000","1","2017/9/28 18:10:50.6270000","9999/12/31 23:59:59.9970000","Intercem"
"124","43","43","67","10","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6630000","1","2017/9/28 18:10:50.6630000","9999/12/31 23:59:59.9970000","SCA-1"
"125","43","43","28","1","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6700000","1","2017/9/28 18:10:50.6700000","9999/12/31 23:59:59.9970000","CFR-5"
"126","43","43","20","3","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6770000","1","2017/9/28 18:10:50.6770000","9999/12/31 23:59:59.9970000","CFL-3"
"127","43","43","32","7","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.6830000","1","2017/9/28 18:10:50.6830000","9999/12/31 23:59:59.9970000","EA-3"
"128","44","44","4","758","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.7000000","1","2017/9/28 18:10:50.6970000","9999/12/31 23:59:59.9970000","Intercem"
