"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"92","SURFACEmix LW PRO + Additives","1","0","","2018/9/28 18:10:52.8830000","1","2017/9/28 18:10:52.8830000","9999/12/31 23:59:59.9970000"
"93","0:1:0 'A' + Additives","1","0","","2018/9/28 18:10:52.9000000","1","2017/9/28 18:10:52.9000000","9999/12/31 23:59:59.9970000"
"94","0:1:0 'C' + Additives","1","0","","2018/9/28 18:10:52.9400000","1","2017/9/28 18:10:52.9400000","9999/12/31 23:59:59.9970000"
"95","0:1:0 'G' + Additives","1","0","","2018/9/28 18:10:52.9570000","1","2017/9/28 18:10:52.9530000","9999/12/31 23:59:59.9970000"
"96","0:1:12 'G' + Additives","1","0","","2018/9/28 18:10:52.9700000","1","2017/9/28 18:10:52.9700000","9999/12/31 23:59:59.9970000"
"97","0:1:2 'G' + Additives","1","0","","2018/9/28 18:10:52.9830000","1","2017/9/28 18:10:52.9830000","9999/12/31 23:59:59.9970000"
"98","0:1:4 'G' + Additives","1","0","","2018/9/28 18:10:52.9970000","1","2017/9/28 18:10:52.9970000","9999/12/31 23:59:59.9970000"
"99","0:1:6 'G' + Additives","1","0","","2018/9/28 18:10:53.0130000","1","2017/9/28 18:10:53.0130000","9999/12/31 23:59:59.9970000"
"100","0:1:8 'G' + Additives","1","0","","2018/9/28 18:10:53.0300000","1","2017/9/28 18:10:53.0300000","9999/12/31 23:59:59.9970000"
"101","1:1:0 'G' + Additives","1","0","","2018/9/28 18:10:53.0500000","1","2017/9/28 18:10:53.0500000","9999/12/31 23:59:59.9970000"
"102","1:1:12 'G' + Additives","1","0","","2018/9/28 18:10:53.0870000","1","2017/9/28 18:10:53.0870000","9999/12/31 23:59:59.9970000"
"103","1:1:2 'G' + Additives","1","0","","2018/9/28 18:10:53.2100000","1","2017/9/28 18:10:53.2100000","9999/12/31 23:59:59.9970000"
"104","1:1:4 'G' + Additives","1","0","","2018/9/28 18:10:53.2270000","1","2017/9/28 18:10:53.2270000","9999/12/31 23:59:59.9970000"
"105","1:1:6 'G' + Additives","1","0","","2018/9/28 18:10:53.2430000","1","2017/9/28 18:10:53.2430000","9999/12/31 23:59:59.9970000"
"106","1:1:8 'G' + Additives","1","0","","2018/9/28 18:10:53.2630000","1","2017/9/28 18:10:53.2600000","9999/12/31 23:59:59.9970000"
