"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"1000459","145","5","LITEmix 1325","","1","154277","KMaher","2014/11/4 13:41:02.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000460","146","5","SUPERLITEmix 1200","","1","154277","KMaher","2014/11/4 13:41:12.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000461","147","5","SUPERLITEmix 1160","","2","15112","Awang","2017/8/29 11:23:06.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:23:06.0000000"
"1000462","148","5","ARC","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000463","149","5","ASC II","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000464","150","5","Ciment Fondue","","1","154277","KMaher","2014/11/4 13:41:56.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000465","151","5","50% Class G / 50% Poz (1-1-0 G)","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000467","152","5","Class A Cement","","1","1000342","pdoeleman","2014/11/6 13:11:16.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000468","153","5","Class C Cement","","1","1000342","pdoeleman","2014/11/6 13:11:31.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000469","154","5","Class G Cement","","1","1000342","pdoeleman","2014/11/6 13:11:48.0000000","1","1-01/1/0 00:00:00.00000","9999/12/31 23:59:59.0000000"
"1000470","155","5","Class H Cement","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000471","156","5","Class I Cement","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000472","157","5","Type I Cement","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"1000473","158","5","Type I/II Cement","","2","15112","Awang","2017/8/29 11:22:44.0000000","1","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
