ID,SbsReleasedProductId,ServicePoint,Price,PriceUnit,UnitId
341,IIN023194,D603,1.48,1,l
342,IIN023194,D612,1.41,1,l
343,IIN023194,D615,2.09,1,l
344,IIN023195,D602,3.89,1,l
345,IIN023195,D603,3.74,1,l
346,IIN023195,D604,2.73,1,l
347,IIN023195,D612,2.46,1,l
348,IIN023195,D615,3.17,1,l
349,IIN023195,D616,2.61,1,l
350,IIN023196,D607,6.14,1,l
351,IIN023201,D602,4.6,1,l
352,IIN023201,D603,4.67,1,l
353,IIN023201,D604,4.26,1,l
354,IIN023201,D606,4.7,1,l
355,IIN023201,D612,4.7,1,l
356,IIN023201,D615,4.85,1,l
357,IIN023201,D616,4.98,1,l
358,IIN023203,D602,0.18,1,kg
359,IIN023203,D606,0.11,1,kg
360,IIN023203,D607,0.17,1,kg
361,IIN023203,D612,0.11,1,kg
362,IIN023204,D602,0.14,1,kg
363,IIN023204,D606,0.09,1,kg
364,IIN023204,D607,0.13,1,kg
365,IIN023204,D612,0.08,1,kg
366,IIN023205,D604,0.29,1,kg
367,IIN023205,D612,0.1,1,kg
368,IIN023207,D602,1.09,1,kg
369,IIN023207,D603,1.09,1,kg
370,IIN023207,D604,1.09,1,kg
371,IIN023207,D606,1.11,1,kg
372,IIN023207,D607,1.1,1,kg
373,IIN023207,D612,1.09,1,kg
374,IIN023207,D615,1.08,1,kg
375,IIN023207,D616,1.4,1,kg
376,IIN023207,D617,1.4,1,kg
377,IIN023208,D607,0.67,1,kg
378,IIN023208,D617,0.69,1,kg
379,IIN023209,D612,2.82,1,kg
380,IIN023212,D602,17.2,1,kg
381,IIN023212,D603,17.17,1,kg
382,IIN023212,D604,17.21,1,kg
383,IIN023212,D606,16.99,1,kg
384,IIN023212,D607,17.16,1,kg
385,IIN023212,D612,17.19,1,kg
386,IIN023212,D615,17.11,1,kg
387,IIN023212,D616,11.97,1,kg
388,IIN023212,D617,17.19,1,kg
389,IIN023214,D604,6.35,1,l
390,IIN023217,D603,1.68,1,kg
391,IIN023217,D604,2.06,1,kg
392,IIN023217,D612,2.5,1,kg
393,IIN023217,D615,1.67,1,kg
394,IIN023217,D617,1.63,1,kg
395,IIN023217,D618,1.62,1,kg
396,IIN023221,D603,1.56,1,kg
397,IIN023221,D604,1.56,1,kg
398,IIN023221,D612,1.56,1,kg
399,IIN023221,D615,1.65,1,kg
400,IIN023222,D602,0.56,1,kg
401,IIN023222,D603,1,1,kg
402,IIN023222,D604,0.98,1,kg
