"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"243","SURFACEmix PRO + Additives","","249","SURFACEmix PRO + Additives","169","SURFACEmix PRO + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.8900000","1","2017/9/28 18:10:46.8900000","9999/12/31 23:59:59.9970000","",""
"244","SURFACEmix PRO SL + Additives","","250","SURFACEmix PRO SL + Additives","170","SURFACEmix PRO SL + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9030000","1","2017/9/28 18:10:46.9030000","9999/12/31 23:59:59.9970000","",""
"245","SURFACEmix SLW + Additives","","251","SURFACEmix SLW + Additives","171","SURFACEmix SLW + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9130000","1","2017/9/28 18:10:46.9130000","9999/12/31 23:59:59.9970000","",""
"246","SurfLite (SK) + Additives","","252","SurfLite (SK) + Additives","172","SurfLite (SK) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9230000","1","2017/9/28 18:10:46.9230000","9999/12/31 23:59:59.9970000","",""
"247","Thermal 40 + Additives","","253","Thermal 40 + Additives","173","Thermal 40 + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9300000","1","2017/9/28 18:10:46.9300000","9999/12/31 23:59:59.9970000","",""
"248","Thermal 40 EXP + Additives","","254","Thermal 40 EXP + Additives","174","Thermal 40 EXP + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9400000","1","2017/9/28 18:10:46.9400000","9999/12/31 23:59:59.9970000","",""
"249","THERMAmix EC + Additives","","255","THERMAmix EC + Additives","175","THERMAmix EC + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9500000","1","2017/9/28 18:10:46.9470000","9999/12/31 23:59:59.9970000","",""
"250","THERMAmix LT + Additives","","256","THERMAmix LT + Additives","176","THERMAmix LT + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9570000","1","2017/9/28 18:10:46.9570000","9999/12/31 23:59:59.9970000","",""
"252","ThixLite HT (AB) + Additives","","258","ThixLite HT (AB) + Additives","178","ThixLite HT (AB) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9670000","1","2017/9/28 18:10:46.9670000","9999/12/31 23:59:59.9970000","",""
"253","ThixLite HT (SK) + Additives","","259","ThixLite HT (SK) + Additives","179","ThixLite HT (SK) + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9770000","1","2017/9/28 18:10:46.9770000","9999/12/31 23:59:59.9970000","",""
"254","SURFACEmix LW PRO SL + Additives","","260","SURFACEmix LW PRO SL + Additives","180","SURFACEmix LW PRO SL + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9870000","1","2017/9/28 18:10:46.9870000","9999/12/31 23:59:59.9970000","",""
"255","LDP-C-0117 + Additives","","261","LDP-C-0117 + Additives","181","LDP-C-0117 + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.9970000","1","2017/9/28 18:10:46.9970000","9999/12/31 23:59:59.9970000","",""
"256","SUPERLITEmix 1160 + Additives","","262","SUPERLITEmix 1160 + Additives","182","SUPERLITEmix 1160 + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.0030000","1","2017/9/28 18:10:47.0030000","9999/12/31 23:59:59.9970000","",""
"257","0:1:0 'A'","","82","0:1:0 'A'","1","0:1:0 'A'","1","2","0:1:0 'A'","0","","","3.152","","0.775842178","1880","0","","01","1","0","","2018/9/28 18:10:43.9970000","1","2017/9/28 18:10:43.9970000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"258","PRODUCTIONmix THX + Additives","","236","PRODUCTIONmix THX + Additives","155","PRODUCTIONmix THX + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.6870000","1","2017/9/28 18:10:46.6830000","9999/12/31 23:59:59.9970000","",""
"259","RAS II + Additives","","239","RAS II + Additives","159","RAS II + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:46.7500000","1","2017/9/28 18:10:46.7500000","9999/12/31 23:59:59.9970000","",""
"260","Sil 1","","264","Sil 1","","","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:43.9470000","1","2017/9/28 18:10:43.9470000","9999/12/31 23:59:59.9970000","",""
