"ID","NAME","DESCRIPTION","INVENTORY_NUMBER","PRICE_CODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"105","2:1:12 'G' (Sask)","2:1:12 'G' (Sask)","","","1","0","","2018/9/28 18:10:38.9570000","1","2017/9/28 18:10:38.9570000","9999/12/31 23:59:59.9970000"
"106","2:1:2 'G'","2:1:2 'G'","","","1","0","","2018/9/28 18:10:38.9670000","1","2017/9/28 18:10:38.9670000","9999/12/31 23:59:59.9970000"
"107","2:1:2 'G' (Sask)","2:1:2 'G' (Sask)","","","1","0","","2018/9/28 18:10:38.9770000","1","2017/9/28 18:10:38.9730000","9999/12/31 23:59:59.9970000"
"108","2:1:4 'G'","2:1:4 'G'","","","1","0","","2018/9/28 18:10:38.9830000","1","2017/9/28 18:10:38.9800000","9999/12/31 23:59:59.9970000"
"109","2:1:4 'G' (Sask)","2:1:4 'G' (Sask)","","","1","0","","2018/9/28 18:10:38.9900000","1","2017/9/28 18:10:38.9870000","9999/12/31 23:59:59.9970000"
"110","2:1:6 'G'","2:1:6 'G'","","","1","0","","2018/9/28 18:10:38.9970000","1","2017/9/28 18:10:38.9970000","9999/12/31 23:59:59.9970000"
"111","2:1:6 'G' (Sask)","2:1:6 'G' (Sask)","","","1","0","","2018/9/28 18:10:39.0070000","1","2017/9/28 18:10:39.0030000","9999/12/31 23:59:59.9970000"
"112","2:1:8 'G'","2:1:8 'G'","","","1","0","","2018/9/28 18:10:39.0170000","1","2017/9/28 18:10:39.0130000","9999/12/31 23:59:59.9970000"
"113","2:1:8 'G' (Sask)","2:1:8 'G' (Sask)","","","1","0","","2018/9/28 18:10:39.0230000","1","2017/9/28 18:10:39.0230000","9999/12/31 23:59:59.9970000"
"114","ASC IV","ASC IV Acid Soluble Cement","","113314","1","0","","2018/9/28 18:10:39.0330000","1","2017/9/28 18:10:39.0300000","9999/12/31 23:59:59.9970000"
"115","Expandomix","Expandomix","","113040","1","0","","2018/9/28 18:10:39.0430000","1","2017/9/28 18:10:39.0400000","9999/12/31 23:59:59.9970000"
"116","EXPANDOmix PRO HT","EXPANDOmix PRO HT","","116441","1","0","","2018/9/28 18:10:39.0500000","1","2017/9/28 18:10:39.0500000","9999/12/31 23:59:59.9970000"
"117","EXPANDOmix PRO HT (Sask)","EXPANDOmix PRO HT (Sask)","","116441","1","0","","2018/9/28 18:10:39.0600000","1","2017/9/28 18:10:39.0570000","9999/12/31 23:59:59.9970000"
"118","EXPANDOmix PRO LT","EXPANDOmix PRO LT","","116443","1","0","","2018/9/28 18:10:39.0700000","1","2017/9/28 18:10:39.0670000","9999/12/31 23:59:59.9970000"
"119","EXPANDOmix PRO LT (Sask)","EXPANDOmix PRO LT (Sask)","","116443","1","0","","2018/9/28 18:10:39.0770000","1","2017/9/28 18:10:39.0730000","9999/12/31 23:59:59.9970000"
"120","Expandomix HT","Expandomix HT","","113044","1","0","","2018/9/28 18:10:39.0830000","1","2017/9/28 18:10:39.0830000","9999/12/31 23:59:59.9970000"
"121","Expandomix HT (SK)","Expandomix HT (SK)","","113044","1","0","","2018/9/28 18:10:39.0930000","1","2017/9/28 18:10:39.0930000","9999/12/31 23:59:59.9970000"
"122","Expandomix LWL","Expandomix LWL","","113042","1","0","","2018/9/28 18:10:39.1030000","1","2017/9/28 18:10:39.1030000","9999/12/31 23:59:59.9970000"
"123","Glacial Mix","Glacial Mix","","113411","1","0","","2018/9/28 18:10:39.1170000","1","2017/9/28 18:10:39.1130000","9999/12/31 23:59:59.9970000"
"124","iBond","iBond","","113056","1","0","","2018/9/28 18:10:39.1270000","1","2017/9/28 18:10:39.1230000","9999/12/31 23:59:59.9970000"
"125","iGain (SK)","iGain (SK)","","113052","1","0","","2018/9/28 18:10:39.1330000","1","2017/9/28 18:10:39.1330000","9999/12/31 23:59:59.9970000"
"126","iGain (AB)","iGain(AB)","","113052","1","0","","2018/9/28 18:10:39.1400000","1","2017/9/28 18:10:39.1400000","9999/12/31 23:59:59.9970000"
"127","iPrime (AB)","iPrime (AB)","","113014","1","0","","2018/9/28 18:10:39.1500000","1","2017/9/28 18:10:39.1500000","9999/12/31 23:59:59.9970000"
"128","iPrime (SK)","iPrime (SK)","","113014","1","0","","2018/9/28 18:10:39.1800000","1","2017/9/28 18:10:39.1700000","9999/12/31 23:59:59.9970000"
