ID,NAME,RIG_NO,RIG_SIZE_TYPE_CAT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,THREAD_TYPE_ID,THREAD_TYPE_NAME,THREAD_TYPE_CATEGORY,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
146,Precision Drilling 183,183,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
147,Precision Drilling 184,184,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
148,Precision Drilling 189,189,56,2,Single,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
149,Precision Drilling 19,19,56,1,,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
150,Precision Drilling 192,192,56,2,Single,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
151,Precision Drilling 196,196,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
152,Precision Drilling 197,197,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
153,Precision Drilling 198,198,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
154,Precision Drilling 199,199,56,2,Single,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
155,Precision Drilling 204,204,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
156,Precision Drilling 205,205,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
157,Precision Drilling 226,226,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
158,Precision Drilling 241,241,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
159,Precision Drilling 255,255,56,1,,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
160,Precision Drilling 275,275,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
161,Precision Drilling 293,293,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
162,Precision Drilling 294,294,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
163,Precision Drilling 309,309,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
164,Precision Drilling 340,340,56,1,,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
165,Precision Drilling 379,379,56,3,Double,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
166,Precision Drilling 382,382,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
167,Precision Drilling 403,403,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
168,Precision Drilling 407,407,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
169,Precision Drilling 409,409,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
170,Precision Drilling 521,521,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
171,Precision Drilling 526,526,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
172,Precision Drilling 529,529,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
173,Precision Drilling 533,533,56,1,,10203,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
174,Precision Drilling 538,538,56,1,,30114,Precision Drilling,0,0,0,1,114.3,,4,XH,45,,,,,,,
175,Precision Drilling 574,574,56,1,,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
176,Precision Drilling 59,59,56,1,,10203,Precision Drilling,0,0,0,0,,,,,,,,,,,,
177,Precision Drilling 725,725,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
178,Precision Drilling 831,831,56,1,,30114,Precision Drilling,0,0,0,0,,,,,,,,,,,,
179,Precision Well Servicing 411,411,56,1,,30046,Precision Well Servicing,0,0,0,0,,,,,,,,,,,,
180,Predator Drilling Inc. 14,14,56,1,,30148,Predator Drilling Inc.,0,0,0,0,,,,,,,,,,,,
181,Predator Drilling Inc. 574,574,56,1,,30148,Predator Drilling Inc.,0,0,0,1,101.6,,4,XH,45,,,,,,,
182,Red Dog Drilling Inc. 4,4,56,1,,30116,Red Dog Drilling Inc.,0,0,0,1,114.3,,4,XH,45,,,,,,,
183,Red Hawk Well Servicing Inc. 4,4,56,1,,30052,Red Hawk Well Servicing Inc.,0,0,0,0,,,,,,,,,,,,
